Plot,Subplot,Plant_Simple,Seeds_GF,Fruit_GF,visits_GF,ID,homo_motif,hete_motif,Strength,StrengthIn,StrengthOut,Degree,DegreeIn,DegreeOut,PageRank,Hub,Authority,Katz,Multiplexity,Kcore
1,B1,LEMA,128,2,1,Eupeodes_corollae,2,0,2.25,1.25,1,4,2,2,0.131086606057152,0.00760927798141994,0,0.0165176706869691,0.333333333333333,2
1,B1,LEMA,128,2,1,Oedemeridae,0,0,2.25,1.25,1,4,2,2,0.131086606057152,0.00760927798141994,0,0.0165176706869691,0.333333333333333,2
1,B2,CHFU,152,2,1,Sphaerophoria_scripta,0,0,2.66666666666667,1.66666666666667,1,4,2,2,0.193263022308744,2.13847971215202e-4,0,0.0270353234866504,0.333333333333333,2
1,B2,CHFU,152,2,2,Empididae,1,1,2.66666666666667,1.66666666666667,1,4,2,2,0.193263022308744,2.13847971215202e-4,0,0.0270353234866504,0.333333333333333,2
1,B2,LEMA,128,2,1,Psilothrix_viridicoerulea,4,0,1.37984496124031,0.37984496124031,1,6,3,3,0.126762812856431,0.530352855159668,0,0.0824851458568865,0.333333333333333,4
1,B2,LEMA,128,2,1,Sphaerophoria_scripta,1,0,1.37984496124031,0.37984496124031,1,6,3,3,0.126762812856431,0.530352855159668,0,0.0824851458568865,0.333333333333333,4
1,B2,LEMA,128,2,1,Odontomyia_sp.,5,0,1.37984496124031,0.37984496124031,1,6,3,3,0.126762812856431,0.530352855159668,0,0.0824851458568865,0.333333333333333,4
1,B2,LEMA,128,2,1,Psilothrix_viridicoerulea,13,0,1.37984496124031,0.37984496124031,1,6,3,3,0.126762812856431,0.530352855159668,0,0.0824851458568865,0.333333333333333,4
1,B3,CHFU,380,5,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,B3,LEMA,128,2,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,B4,CHFU,532,7,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,B4,LEMA,192,3,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,B5,CHFU,76,1,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,B5,LEMA,384,6,1,Psilothrix_viridicoerulea,3,0,1.02325581395349,0.0232558139534884,1,2,1,1,0.0714237543713424,0.999999999999999,0,0.0102034234224611,0.333333333333333,2
1,B6,LEMA,192,3,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,C1,CHFU,76,1,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,C1,LEMA,128,2,1,Psilothrix_viridicoerulea,13,0,2.02325581395349,1.02325581395349,1,4,2,2,0.112557311135994,0.513193298073026,0,0.0712593606782948,0.333333333333333,2
1,C1,LEMA,128,2,1,Musca_sp.,0,1,2.02325581395349,1.02325581395349,1,4,2,2,0.112557311135994,0.513193298073026,0,0.0712593606782948,0.333333333333333,2
1,C2,CHFU,76,1,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,C2,LEMA,128,2,1,Dilophus_sp.,8,0,1.08333333333333,0.0833333333333333,1,2,1,1,0.0751768094720779,0.114634331350179,0,0.017398797624662,0.333333333333333,2
1,C3,CHFU,228,3,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,C3,LEMA,128,2,1,Odontomyia_sp.,5,0,1.18992248062015,0.189922480620155,1,4,2,2,0.0927062229810353,0.542968518268961,0,0.0104729290181288,0.333333333333333,4
1,C3,LEMA,128,2,1,Psilothrix_viridicoerulea,13,0,1.18992248062015,0.189922480620155,1,4,2,2,0.0927062229810353,0.542968518268961,0,0.0104729290181288,0.333333333333333,4
1,C4,CHFU,76,1,1,Dilophus_sp.,0,0,1.25,0.25,1,2,1,1,0.0932175000693968,0,0,1.43947019144528e-5,0.333333333333333,2
1,C4,LEMA,128,2,2,Andrena_cinerea,0,0,2.16666666666667,1.16666666666667,1,4,2,2,0.165306795686682,0.0113405436408498,0,8.69695282734099e-4,0.333333333333333,2
