Year,Plot,Subplot,Plant,Seeds_GF,Fruit_GF,visits_GF,ID,homo_motif,hete_motif,Strength,StrengthIn,StrengthOut,Degree,DegreeIn,DegreeOut,PageRank,Hub,Authority,Katz,Multiplexity,Kcore
2020,3,F3,LEMA,250,5,1,Psilothrix_viridicoerulea,12,0,1.28802597539729,0.288025975397286,1,6,3,3,0.156775558625743,0.698614199126115,2.43082707728041e-7,8.98105461731053e-4,0.2,6
2020,3,F3,LEMA,250,5,2,Small bee 1_8_6,6,8,1.28802597539729,0.288025975397286,1,6,3,3,0.156775558625743,0.698614199126115,2.43082707728041e-7,8.98105461731053e-4,0.2,6
2020,3,F4,CETE,1887,17,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,3,F4,CHFU,544,17,0,None,0,0,1.6,0.6,1,4,2,2,0.130306006782078,0,0,1.55179782515709e-5,0.2,4
2020,3,F4,LEMA,608,16,3,Brassicogethes_sp.,17,0,2.54838709677419,1.54838709677419,1,6,3,3,0.136417359744924,0.503154488281672,4.98620096785831e-8,6.57629017993325e-4,0.2,4
2020,3,F4,LEMA,608,16,1,Sphaerophoria_scripta,1,0,2.54838709677419,1.54838709677419,1,6,3,3,0.136417359744924,0.503154488281672,4.98620096785831e-8,6.57629017993325e-4,0.2,4
2020,3,F4,LEMA,608,16,1,Tabanidae,0,1,2.54838709677419,1.54838709677419,1,6,3,3,0.136417359744924,0.503154488281672,4.98620096785831e-8,6.57629017993325e-4,0.2,4
2020,3,F4,PUPA,1260,20,2,Small bee 1_8_6,7,7,1.15384615384615,0.153846153846154,1,2,1,1,0.0827019504908013,6.88066275621715e-7,0.00111841687683797,5.79827371430016e-4,0.2,2
2020,3,F5,LEMA,145.5,3,2,Bombyliidae,2,2,1.32311991371703,0.323119913717031,1,6,3,3,0.103945405965173,0.493035025024597,1.87281277943235e-8,3.72115934881264e-4,0.2,6
2020,3,F5,LEMA,145.5,3,1,Brassicogethes_sp.,17,0,1.32311991371703,0.323119913717031,1,6,3,3,0.103945405965173,0.493035025024597,1.87281277943235e-8,3.72115934881264e-4,0.2,6
2020,3,F5,LEMA,145.5,3,1,Psilothrix_viridicoerulea,12,0,1.32311991371703,0.323119913717031,1,6,3,3,0.103945405965173,0.493035025024597,1.87281277943235e-8,3.72115934881264e-4,0.2,6
2020,3,F5,PUPA,322,14,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,3,F6,CETE,610.5,5.5,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,3,F6,CHFU,256,8,0,None,0,0,1.1,0.1,1,2,1,1,0.0961155503139756,0,0,1.55179782515709e-5,0.2,2
2020,3,F6,CHMI,41,41,4,Bee_sirphid_jarJ,1,0,1.8,0.8,1,2,1,1,0.125293547937615,0,0,1.55179782515709e-5,0.2,2
2020,3,F6,LEMA,648,8,3,Bombyliidae,2,2,1.49308755760369,0.493087557603687,1,4,2,2,0.13110365380354,0.503178209428807,6.40812275955903e-8,6.31948194979349e-4,0.2,4
2020,3,F6,LEMA,648,8,4,Brassicogethes_sp.,29,0,1.49308755760369,0.493087557603687,1,4,2,2,0.13110365380354,0.503178209428807,6.40812275955903e-8,6.31948194979349e-4,0.2,4
2020,3,F6,PUPA,896,7,3,Bombyliidae,1,3,1.82692307692308,0.826923076923077,1,4,2,2,0.108831456355616,1.86105380776829e-7,0.00461686917037582,2.55027920782799e-4,0.2,4
2020,3,F6,PUPA,896,7,1,Small bee 1_8_6,7,7,1.82692307692308,0.826923076923077,1,4,2,2,0.108831456355616,1.86105380776829e-7,0.00461686917037582,2.55027920782799e-4,0.2,4
2020,4,A1,LEMA,58,1,0,None,0,0,1.02380952380952,0.0238095238095238,1,2,1,1,0.0592357559820628,1,0,0.999999999998097,0.5,2
2020,4,A2,CHFU,32,1,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,4,A2,LEMA,58,1,0,None,0,0,1.6,0.6,1,2,1,1,0.119676948452822,0.0256725225708654,0,0.999999999998098,0.5,2
2020,4,A3,CETE,222,2,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,4,A3,LEMA,174,3,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0
