Real_PR_Multi,Plot,Label,Plant_Simple,Real_PR_Layer,Delta,Ratio
0.009705246466835156,3,B5 LEMA,LEMA,0.004594180704441039,0.005111065762394117,2.1125086476144532
0.00679238594371605,3,B5 PUPA,PUPA,NA,NA,NA
0.018936262356359396,3,B6 CHFU,CHFU,0.008645533141210375,0.01029072921514902,2.1902943458855697
0.008137537206259045,3,B6 LEMA,LEMA,0.004594180704441039,0.0035433565018180057,1.7712705985623862
0.00710979950156386,3,C1 CHFU,CHFU,0.008645533141210375,-0.0015357336396465155,0.8223668090142198
0.011075156938939321,3,C1 CHMI,CHMI,NA,NA,NA
0.005465778760734161,3,C1 LEMA,LEMA,0.004594180704441039,8.715980562931215e-4,1.1897178435864695
0.010025600934691558,3,C2 CHMI,CHMI,NA,NA,NA
0.011122635742257582,3,C2 LEMA,LEMA,0.004594180704441039,0.006528455037816543,2.4210270465647348
0.010242524216470861,3,C3 CHFU,CHFU,0.008645533141210375,0.001596991075260486,1.1847186343717961
0.01162250146038129,3,C3 LEMA,LEMA,0.004594180704441039,0.007028320755940252,2.5298311512096623
0.0061175770669493965,3,C3 PUPA,PUPA,NA,NA,NA
0.01068714244042347,3,C4 LEMA,LEMA,0.004594180704441039,0.006092961735982431,2.326234671198843
0.005465778760734412,3,C5 LEMA,LEMA,0.004594180704441039,8.715980562933731e-4,1.1897178435865243
0.01715121165907216,3,C6 CHFU,CHFU,0.008645533141210375,0.008505678517861786,1.9838234818993465
0.010171646535281029,3,D1 CHFU,CHFU,0.008645533141210375,0.0015261133940706537,1.1765204492475057
0.007109799501564466,3,D2 CHFU,CHFU,0.008645533141210375,-0.0015357336396459092,0.8223668090142898
0.009019317304763713,3,D2 LEMA,LEMA,0.004594180704441039,0.004425136600322674,1.9632047333369025
0.007379958087057753,3,D3 LEMA,LEMA,0.004594180704441039,0.002785777382616714,1.6063708769495717
0.00710979950156289,3,D4 CHFU,CHFU,0.008645533141210375,-0.0015357336396474852,0.8223668090141075
0.0067392214855223195,3,D4 PUPA,PUPA,NA,NA,NA
