species,Real_PR_Multi,Real_PR_Layer,StrengthIn,StrengthOut,DegreeIn,DegreeOut,Delta,Ratio,Plot
A3 LEMA,0.5355337684240047,0.5455707033265135,0.3565891472868217,1,2,2,-0.010036934902508787,0.9816028704596664,1
Anthaxia_semicuprea LEMA,0.7818733588602127,0.7956218810931693,1.0333333333333332,1,3,3,-0.01374852223295664,0.9827197786289306,1
A4 LEMA,0.7127181037785394,0.7266897815002593,0.3798449612403101,1,2,2,-0.013971677721719922,0.9807735321489244,1
Andrena_cinerea LEMA,0.8283957774752374,0.8343556734118649,0.8333333333333333,1,2,2,-0.005959895936627491,0.9928568881035397,1
A5 LEMA,0.34626657767282054,0.35515784145976104,0.08333333333333333,1,1,1,-0.008891263786940495,0.9749653175320702,1
A6 LEMA,0.7184910959880645,0.7347991935128523,0.5232558139534884,1,3,3,-0.01630809752478779,0.9778060486881814,1
B1 LEMA,0.8269019372480501,0.8451421346772974,1.25,1,2,2,-0.018240197429247318,0.9784175978444004,1
Eupeodes_corollae LEMA,1.1796875878456086,1.2345154754123469,1.5333333333333332,1,5,5,-0.05482788756673829,0.955587525098926,1
Oedemeridae LEMA,0.5014333233304213,0.5091854072378514,0.5,1,1,1,-0.007752083907430096,0.9847755183136878,1
B2 LEMA,0.7897319240972572,0.874823893487189,0.3798449612403101,1,3,3,-0.0850919693899318,0.9027324584714513,1
Sphaerophoria_scripta LEMA,1.8179100664372945,1.3786333830631965,2.45,2,6,6,0.439276683374098,1.3186319791546506,1
B5 LEMA,0.314002983413611,0.32014450368344893,0.023255813953488372,1,1,1,-0.006141520269837941,0.9808164119665458,1
C1 LEMA,0.6676126024448596,0.7008133130073564,1.0232558139534884,1,2,2,-0.03320071056249674,0.9526254568138488,1
Musca_sp. LEMA,0.8320226330147025,0.4478456580281264,1.3,2,2,2,0.38417697498657605,1.8578334256451545,1
C2 LEMA,0.34626657767282065,0.355157841459761,0.08333333333333333,1,1,1,-0.008891263786940329,0.9749653175320706,1
C3 LEMA,0.496960310977671,0.5093729938697877,0.18992248062015504,1,2,2,-0.012412682892116722,0.9756314468150037,1
C4 LEMA,1.1210799562462381,1.1257887889885287,1.1666666666666665,1,2,2,-0.004708832742290614,0.9958173035756367,1
Melyridae LEMA,1.1803663113967144,1.1834993899336592,1.5,1,2,2,-0.0031330785369447778,0.9973526994913614,1
C5 LEMA,0.9542702833238367,0.9813291503642831,1.3333333333333333,1,3,3,-0.027058867040446466,0.9724263087156824,1
Diptera LEMA,0.4203765802750872,0.42804325926988024,0.3333333333333333,1,2,2,-0.007666678994793064,0.9820890089289801,1
D1 LEMA,0.6516556823436038,0.6529872407218053,0.5,1,1,1,-0.001331558378201425,0.9979608202195045,1
D2 LEMA,0.3140029834136111,0.3201445036834489,0.023255813953488372,1,1,1,-0.006141520269837775,0.9808164119665463,1
D3 LEMA,1.5922052939538476,1.6363729104055584,1.4864341085271318,0.9999999999999998,4,4,-0.044167616451710856,0.9730088318067033,1
Chrysomelidae LEMA,0.3433392142658245,0.3487024248349606,0.14285714285714285,1,1,1,-0.005363210569136134,0.9846195202924829,1
Mordellidae LEMA,1.2509404999596345,1.2669489662398754,2.3428571428571425,1,4,4,-0.016008466280240885,0.9873645531850018,1
D4 LEMA,0.4158248562414224,0.4192266553259737,0.25,1,1,1,-0.0034017990845512935,0.9918855372354456,1
D5 LEMA,1.1805825299023076,1.2091836902985869,0.8565891472868217,1,5,5,-0.028601160396279246,0.9763467200014775,1
E1 LEMA,0.806011933654444,0.8305780147337949,0.09302325581395349,1,1,1,-0.024566081079350877,0.9704229095358075,1
E2 LEMA,0.9318098039119929,1.0860596406945642,0.4631782945736434,1,3,3,-0.15424983678257131,0.8579729593082711,1
E3 LEMA,1.0756498902220848,1.111996539761809,0.48643410852713176,1,3,3,-0.03634664953972422,0.9673140623733328,1
E4 LEMA,0.8060119336544441,0.8305780147337949,0.09302325581395349,1,1,1,-0.024566081079350766,0.9704229095358076,1
