Plot,Subplot,Plant_Simple,Seeds_GF,Fruit_GF,visits_GF,ID,homo_motif,hete_motif,ME_iden,Strength,StrengthIn,StrengthOut,Degree,DegreeIn,DegreeOut,PageRank,Hub,Authority,Katz,Multiplexity,Kcore,individuals,individuals_plot,total_individuals_subplot,total_individuals_plot,prop_individuals_sub,prop_individuals_plot,prop_indiviudals_sub,prop_indiviudals_plot
3,D3,LEMA,64,1,3,Flower_beetles,9,0,0,1.2972582972583,0.297258297258297,1,6,3,3,0.0715751679821181,0.662014148074999,0,0.227581914494067,0.333333333333333,4,8,539,366,14234,0.021917808219178082,0.0378697393381578,0.02185792349726776,5.620345651257552e-4
3,D3,ME,560,280,0,None,0,0,MESU,0,0,0,0,0,0,0,0,0,0,0,0,7,34,366,14234,0.019178082191780823,0.0023888147263401954,0.01912568306010929,4.917802444850359e-4
3,D4,CHFU,76,1,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,103,562,14234,0.004739336492890996,0.007236703435677651,0.0035587188612099642,1.405086412814388e-4
3,D4,LEMA,64,1,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,539,562,14234,0.023696682464454975,0.0378697393381578,0.017793594306049824,7.02543206407194e-4
3,D5,CHFU,76,1,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,103,380,14234,0.002631578947368421,0.007236703435677651,0.002631578947368421,7.02543206407194e-5
3,D5,LEMA,64,1,2,Flower_beetles,5,0,0,1.17460317460317,0.174603174603175,1,4,2,2,0.0536863914214882,0.657745919120324,0,0.25859617619486,0.333333333333333,4,15,539,380,14234,0.039473684210526314,0.0378697393381578,0.039473684210526314,0.001053814809610791
3,D5,LEMA,64,1,1,Small_flies,4,0,0,1.17460317460317,0.174603174603175,1,4,2,2,0.0536863914214882,0.657745919120324,0,0.25859617619486,0.333333333333333,4,15,539,380,14234,0.039473684210526314,0.0378697393381578,0.039473684210526314,0.001053814809610791
3,D6,CHFU,0,0,0,None,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,103,433,14234,0,0.007236703435677651,0.0023094688221709007,7.02543206407194e-5
3,D6,LEMA,64,1,3,Hoverflies,6,0,0,1.35209235209235,0.352092352092352,1,4,2,2,0.0823086249207235,0.628576139417599,0,0.188883112535777,0.333333333333333,4,25,539,433,14234,0.05787037037037037,0.0378697393381578,0.057736720554272515,0.001756358016017985
3,D6,LEMA,64,1,1,Flower_beetles,18,0,0,1.35209235209235,0.352092352092352,1,4,2,2,0.0823086249207235,0.628576139417599,0,0.188883112535777,0.333333333333333,4,25,539,433,14234,0.05787037037037037,0.0378697393381578,0.057736720554272515,0.001756358016017985
