name,Plot,consp_prob,heter_prob,type,layer,number_plant_nodes_with_visits
ind_5 plant_sp_4,1_200_intralinks20_interlinks50_individuals,0.002385543472488463,0.009542173889953853,plant,plant_sp_4,50
ind_5 plant_sp_5,1_200_intralinks20_interlinks50_individuals,0.0013444251696532765,0.0038264408674747096,plant,plant_sp_5,50
ind_6 plant_sp_1,1_200_intralinks20_interlinks50_individuals,0.0014397632479297218,0.007558757051631037,plant,plant_sp_1,50
ind_6 plant_sp_2,1_200_intralinks20_interlinks50_individuals,0.0013696381603718055,0.0043371875078440526,plant,plant_sp_2,50
ind_6 plant_sp_3,1_200_intralinks20_interlinks50_individuals,0.0010164912158780043,0.0062441603261077375,plant,plant_sp_3,50
ind_6 plant_sp_4,1_200_intralinks20_interlinks50_individuals,0.002556599439648296,0.010226397758593185,plant,plant_sp_4,50
ind_6 plant_sp_5,1_200_intralinks20_interlinks50_individuals,0.0021328743010955854,0.006070488395425896,plant,plant_sp_5,50
ind_7 plant_sp_1,1_200_intralinks20_interlinks50_individuals,0.0013509555660342907,0.007092516721680023,plant,plant_sp_1,50
ind_7 plant_sp_2,1_200_intralinks20_interlinks50_individuals,0.0016058763423073136,0.005085275083973159,plant,plant_sp_2,50
ind_7 plant_sp_3,1_200_intralinks20_interlinks50_individuals,7.182396636619076e-4,0.004412043648208857,plant,plant_sp_3,50
ind_7 plant_sp_4,1_200_intralinks20_interlinks50_individuals,0.0024090349657089217,0.00963613986283569,plant,plant_sp_4,50
ind_7 plant_sp_5,1_200_intralinks20_interlinks50_individuals,0.0023293602171437977,0.006629717541101576,plant,plant_sp_5,50
ind_8 plant_sp_1,1_200_intralinks20_interlinks50_individuals,0.0011777302924527583,0.00618308403537698,plant,plant_sp_1,50
ind_8 plant_sp_2,1_200_intralinks20_interlinks50_individuals,0.0015953413434910157,0.005051914254388219,plant,plant_sp_2,50
ind_8 plant_sp_4,1_200_intralinks20_interlinks50_individuals,0.0016150472939991203,0.006460189175996484,plant,plant_sp_4,50
ind_8 plant_sp_5,1_200_intralinks20_interlinks50_individuals,0.0022317650285954773,0.006351946619848665,plant,plant_sp_5,50
ind_9 plant_sp_2,1_200_intralinks20_interlinks50_individuals,0.0013800452611143243,0.004370143326862028,plant,plant_sp_2,50
ind_9 plant_sp_4,1_200_intralinks20_interlinks50_individuals,0.0025444366657310265,0.010177746662924108,plant,plant_sp_4,50
ind_9 plant_sp_5,1_200_intralinks20_interlinks50_individuals,0.0020482582033355223,0.005829657963339562,plant,plant_sp_5,50
ind_1 plant_sp_1,1_200_intralinks5_interlinks50_individuals,0.002861883182730596,0.010146676760944108,plant,plant_sp_1,50
ind_1 plant_sp_2,1_200_intralinks5_interlinks50_individuals,0.002338487396350459,0.007405210105050377,plant,plant_sp_2,50
ind_1 plant_sp_3,1_200_intralinks5_interlinks50_individuals,0.0016114150029407695,0.008459928782604762,plant,plant_sp_3,50
ind_1 plant_sp_4,1_200_intralinks5_interlinks50_individuals,0.0011916951549740173,0.005428833465359607,plant,plant_sp_4,50
ind_1 plant_sp_5,1_200_intralinks5_interlinks50_individuals,0.0013866742213230934,0.005546696866011474,plant,plant_sp_5,50
ind_10 plant_sp_1,1_200_intralinks5_interlinks50_individuals,0.002632932528112147,0.009334942620068579,plant,plant_sp_1,50
ind_10 plant_sp_2,1_200_intralinks5_interlinks50_individuals,0.002200929314212197,0.006969609510635648,plant,plant_sp_2,50
ind_10 plant_sp_5,1_200_intralinks5_interlinks50_individuals,0.001594675354521558,0.006378701395913195,plant,plant_sp_5,50
ind_11 plant_sp_1,1_200_intralinks5_interlinks50_individuals,0.0024039818734937,0.008523208479193052,plant,plant_sp_1,50
ind_11 plant_sp_2,1_200_intralinks5_interlinks50_individuals,0.002200929314212197,0.00696960951063565,plant,plant_sp_2,50
ind_12 plant_sp_2,1_200_intralinks5_interlinks50_individuals,0.0027511616427652453,0.008712011888294562,plant,plant_sp_2,50
ind_2 plant_sp_1,1_200_intralinks5_interlinks50_individuals,0.0020605558915660275,0.007305607267879757,plant,plant_sp_1,50
ind_2 plant_sp_2,1_200_intralinks5_interlinks50_individuals,0.003163835889180033,0.010018813671538743,plant,plant_sp_2,50
ind_2 plant_sp_3,1_200_intralinks5_interlinks50_individuals,0.0014139907524854261,0.0074234514656111375,plant,plant_sp_3,50
ind_2 plant_sp_4,1_200_intralinks5_interlinks50_individuals,9.417229686494294e-4,0.004290071287076171,plant,plant_sp_4,50
ind_2 plant_sp_5,1_200_intralinks5_interlinks50_individuals,0.001456007932389248,0.005824031709312048,plant,plant_sp_5,50
ind_3 plant_sp_1,1_200_intralinks5_interlinks50_individuals,0.002060555891566027,0.007305607267879755,plant,plant_sp_1,50
ind_3 plant_sp_2,1_200_intralinks5_interlinks50_individuals,0.0023384873963504587,0.00740521010505038,plant,plant_sp_2,50
ind_3 plant_sp_3,1_200_intralinks5_interlinks50_individuals,0.0015344160570565431,0.008055684315892339,plant,plant_sp_3,50
