species,Real_PR_Multi,Real_PR_Layer,StrengthIn,StrengthOut,DegreeIn,DegreeOut,Delta,Ratio,Plot
pol_sp_9 plant_sp_2,0.030734775919021323,0.023493664158720323,3.340917905623788,2.645161290322581,8,8,0.007241111760301001,1.3082155133988864,1_125_intralinks30_interlinks40_individuals
ind_2 plant_sp_3,0.0077626840363928945,0.015579753399012962,1.1409370199692779,1,4,4,-0.007817069362620067,0.4982546153063431,1_125_intralinks30_interlinks40_individuals
pol_sp_8 plant_sp_3,0.015577963174635681,0.007918499166510275,2.7731182795698923,3.8076923076923075,5,5,0.007659464008125406,1.9672873415860916,1_125_intralinks30_interlinks40_individuals
ind_2 plant_sp_4,0.009779705217957003,0.013371484134333134,0.890518084066471,0.9999999999999999,3,3,-0.0035917789163761316,0.7313851715866198,1_125_intralinks30_interlinks40_individuals
pol_sp_3 plant_sp_4,0.025082453596107897,0.01200840646381506,2.7093739593739596,2.766666666666667,5,5,0.013074047132292837,2.0887412223835753,1_125_intralinks30_interlinks40_individuals
ind_2 plant_sp_5,0.007606345945601519,0.011893690069766762,0.44285714285714284,1,2,2,-0.0042873441241652425,0.6395278421569532,1_125_intralinks30_interlinks40_individuals
pol_sp_6 plant_sp_5,0.0331642217460923,0.027700023287407224,3.456792717086835,1.8484848484848484,5,5,0.005464198458685076,1.1972633164236064,1_125_intralinks30_interlinks40_individuals
ind_3 plant_sp_1,0.009539025485971494,0.014351962137108645,0.7385428907168038,1,3,3,-0.0048129366511371514,0.6646495715946218,1_125_intralinks30_interlinks40_individuals
pol_sp_9 plant_sp_1,0.025575839775404913,0.014801078635691103,2.7413936474657534,2.4,6,6,0.01077476113971381,1.7279713462052495,1_125_intralinks30_interlinks40_individuals
ind_3 plant_sp_2,0.010068631337147402,0.015033635250056332,0.8489278752436646,1,4,4,-0.00496500391290893,0.669740296985699,1_125_intralinks30_interlinks40_individuals
ind_3 plant_sp_3,0.005151418503988411,0.011435602096710967,0.38652073732718895,1,2,2,-0.0062841835927225555,0.4504719961767495,1_125_intralinks30_interlinks40_individuals
ind_3 plant_sp_4,0.010743761224518015,0.015433777014909559,0.9948019090334079,1,4,4,-0.004690015790391544,0.696120023902067,1_125_intralinks30_interlinks40_individuals
ind_3 plant_sp_5,0.010695511237454597,0.014541768188576335,0.753968253968254,1,2,2,-0.003846256951121738,0.7355028012244573,1_125_intralinks30_interlinks40_individuals
pol_sp_3 plant_sp_5,0.025613222880480794,0.013447352443378318,2.823901098901099,2.5454545454545454,5,5,0.012165870437102476,1.904703768888956,1_125_intralinks30_interlinks40_individuals
ind_4 plant_sp_1,0.007235896286666999,0.01122349908200786,0.49383078730904817,1,3,3,-0.0039876027953408616,0.6447094826484818,1_125_intralinks30_interlinks40_individuals
ind_4 plant_sp_2,0.014137418543552611,0.019429498163972152,1.736373519268256,0.9999999999999999,6,6,-0.00529207962041954,0.7276265410584526,1_125_intralinks30_interlinks40_individuals
pol_sp_1 plant_sp_2,0.017356813908448853,0.004571512430189192,1.6673992673992675,2.6451612903225805,4,4,0.01278530147825966,3.7967333948013655,1_125_intralinks30_interlinks40_individuals
ind_4 plant_sp_3,0.004815126479504422,0.011173614885850539,0.2857142857142857,1,1,1,-0.006358488406346117,0.4309372149206566,1_125_intralinks30_interlinks40_individuals
ind_4 plant_sp_4,0.00851711941775787,0.014728882563261875,0.6712749615975422,1,2,2,-0.006211763145504005,0.5782597139447664,1_125_intralinks30_interlinks40_individuals
pol_sp_10 plant_sp_4,0.02520665997114603,0.01853477458944492,3.85637548725784,3.5,7,7,0.006671885381701111,1.359965822594928,1_125_intralinks30_interlinks40_individuals
ind_4 plant_sp_5,0.00834657469048221,0.011704040103074319,0.40476190476190477,1,1,1,-0.0033574654125921085,0.7131362005748598,1_125_intralinks30_interlinks40_individuals
ind_5 plant_sp_1,0.0074477305648423375,0.012668090116038156,0.632719676197937,1,3,3,-0.005220359551195819,0.5879126606001407,1_125_intralinks30_interlinks40_individuals
pol_sp_10 plant_sp_1,0.02140432732254871,0.013885170486397275,3.320791626673979,2.8571428571428568,7,7,0.007519156836151435,1.5415242717774076,1_125_intralinks30_interlinks40_individuals
ind_5 plant_sp_2,0.009388002593937166,0.01261359793547897,0.9507047533363322,1,7,7,-0.003225595341541803,0.7442763469993766,1_125_intralinks30_interlinks40_individuals
ind_5 plant_sp_3,0.004491115144981872,0.009185676636117898,0.3150921658986175,1,2,2,-0.004694561491136026,0.4889258922225606,1_125_intralinks30_interlinks40_individuals
