Plot,L,m
61_200_intralinks20_interlinks50_individuals,4.7911600000000005,13
62_200_intralinks20_interlinks100_individuals,4.10514,16
62_200_intralinks20_interlinks27_individuals,4.71765,8
62_200_intralinks20_interlinks50_individuals,4.1003799999999995,7
63_200_intralinks20_interlinks100_individuals,4.054939999999999,16
63_200_intralinks20_interlinks27_individuals,4.31117,6
63_200_intralinks20_interlinks50_individuals,4.59692,10
64_200_intralinks20_interlinks100_individuals,4.064129999999999,19
64_200_intralinks20_interlinks27_individuals,4.770240000000001,8
64_200_intralinks20_interlinks50_individuals,4.60187,10
65_200_intralinks20_interlinks100_individuals,4.02028,19
65_200_intralinks20_interlinks27_individuals,4.17521,5
65_200_intralinks20_interlinks50_individuals,4.1050699999999996,7
66_200_intralinks20_interlinks100_individuals,4.08038,16
66_200_intralinks20_interlinks27_individuals,4.5193,8
66_200_intralinks20_interlinks50_individuals,4.823509999999999,13
67_200_intralinks20_interlinks100_individuals,4.134979999999999,14
67_200_intralinks20_interlinks27_individuals,4.04991,5
67_200_intralinks20_interlinks50_individuals,4.298690000000001,8
68_200_intralinks20_interlinks100_individuals,3.94138,15
68_200_intralinks20_interlinks27_individuals,4.79135,9
68_200_intralinks20_interlinks50_individuals,4.59207,9
69_200_intralinks20_interlinks100_individuals,4.17156,19
69_200_intralinks20_interlinks27_individuals,4.74214,10
69_200_intralinks20_interlinks50_individuals,4.82234,12
7_200_intralinks20_interlinks100_individuals,4.157799999999999,14
7_200_intralinks20_interlinks27_individuals,4.3819099999999995,7
7_200_intralinks20_interlinks50_individuals,4.74911,12
70_200_intralinks20_interlinks100_individuals,4.05105,18
70_200_intralinks20_interlinks27_individuals,4.09385,5
70_200_intralinks20_interlinks50_individuals,4.482740000000001,10
71_200_intralinks20_interlinks100_individuals,4.012879999999999,14
71_200_intralinks20_interlinks27_individuals,4.62116,7
71_200_intralinks20_interlinks50_individuals,4.632499999999999,11
72_200_intralinks20_interlinks100_individuals,4.0708,19
72_200_intralinks20_interlinks27_individuals,4.813969999999999,7
72_200_intralinks20_interlinks50_individuals,4.535260000000001,10
73_200_intralinks20_interlinks100_individuals,3.9700699999999998,17
73_200_intralinks20_interlinks27_individuals,4.83784,8
73_200_intralinks20_interlinks50_individuals,4.212809999999999,9
74_200_intralinks20_interlinks100_individuals,3.92076,16
74_200_intralinks20_interlinks27_individuals,4.79521,9
74_200_intralinks20_interlinks50_individuals,4.54187,11
75_200_intralinks20_interlinks100_individuals,4.1342099999999995,20
75_200_intralinks20_interlinks27_individuals,4.4025099999999995,6
75_200_intralinks20_interlinks50_individuals,4.34294,8
76_200_intralinks20_interlinks100_individuals,3.99673,17
76_200_intralinks20_interlinks27_individuals,4.44003,6
76_200_intralinks20_interlinks50_individuals,4.83133,9
77_200_intralinks20_interlinks100_individuals,4.0636,20
77_200_intralinks20_interlinks27_individuals,4.25245,6
77_200_intralinks20_interlinks50_individuals,4.62034,11
78_200_intralinks20_interlinks100_individuals,4.0292900000000005,20
78_200_intralinks20_interlinks27_individuals,4.589600000000001,7
78_200_intralinks20_interlinks50_individuals,4.4221699999999995,10
