"","Bees","House_flies","Hoverflies","Small_flies"
"B5 CHFU 32",0,0,0,0.0625
"B5 CHFU 4",0,0,0,0.0625
"B5 CHFU 5",0,0,0,0.0625
"B5 CHFU 6",0,0,0,0.0625
"B5 CHFU 7",0,0,0,0.0625
"B5 CHFU 8",0,0,0,0.0625
"B5 CHFU 9",0,0,0,0.0625
"B6 CHFU 1",0,0,0,0.2
"B6 CHFU 10",0,0,0,0.2
"B6 CHFU 11",0,0,0,0.2
"B6 CHFU 12",0,0,0,0.2
"B6 CHFU 13",0,0,0,0.2
"B6 CHFU 14",0,0,0,0.2
"B6 CHFU 15",0,0,0,0.2
"B6 CHFU 16",0,0,0,0.2
"B6 CHFU 17",0,0,0,0.2
"B6 CHFU 18",0,0,0,0.2
"B6 CHFU 19",0,0,0,0.2
"B6 CHFU 2",0,0,0,0.2
"B6 CHFU 20",0,0,0,0.2
"B6 CHFU 21",0,0,0,0.2
"B6 CHFU 22",0,0,0,0.2
"B6 CHFU 23",0,0,0,0.2
"B6 CHFU 24",0,0,0,0.2
"B6 CHFU 25",0,0,0,0.2
"B6 CHFU 26",0,0,0,0.2
"B6 CHFU 27",0,0,0,0.2
"B6 CHFU 28",0,0,0,0.2
"B6 CHFU 29",0,0,0,0.2
"B6 CHFU 3",0,0,0,0.2
"B6 CHFU 30",0,0,0,0.2
"B6 CHFU 4",0,0,0,0.2
"B6 CHFU 5",0,0,0,0.2
"B6 CHFU 6",0,0,0,0.2
"B6 CHFU 7",0,0,0,0.2
"B6 CHFU 8",0,0,0,0.2
"B6 CHFU 9",0,0,0,0.2
"C2 CHFU 1",1,0,0,1
"C2 CHFU 2",1,0,0,1
"C3 CHFU 1",0,0,0,3
"C5 CHFU 1",0,0,0,0.25
"C5 CHFU 2",0,0,0,0.25
"C5 CHFU 3",0,0,0,0.25
"C5 CHFU 4",0,0,0,0.25
"C6 CHFU 1",0,0,0,0.166666666666667
"C6 CHFU 10",0,0,0,0.166666666666667
"C6 CHFU 11",0,0,0,0.166666666666667
"C6 CHFU 12",0,0,0,0.166666666666667
"C6 CHFU 13",0,0,0,0.166666666666667
"C6 CHFU 14",0,0,0,0.166666666666667
"C6 CHFU 15",0,0,0,0.166666666666667
"C6 CHFU 16",0,0,0,0.166666666666667
"C6 CHFU 17",0,0,0,0.166666666666667
"C6 CHFU 18",0,0,0,0.166666666666667
"C6 CHFU 2",0,0,0,0.166666666666667
"C6 CHFU 3",0,0,0,0.166666666666667
"C6 CHFU 4",0,0,0,0.166666666666667
"C6 CHFU 5",0,0,0,0.166666666666667
"C6 CHFU 6",0,0,0,0.166666666666667
"C6 CHFU 7",0,0,0,0.166666666666667
"C6 CHFU 8",0,0,0,0.166666666666667
"C6 CHFU 9",0,0,0,0.166666666666667
"D1 CHFU 1",0,0,0,2
"D2 CHFU 1",0,0.1,0,0.2
"D2 CHFU 10",0,0.1,0,0.2
"D2 CHFU 2",0,0.1,0,0.2
"D2 CHFU 3",0,0.1,0,0.2
"D2 CHFU 4",0,0.1,0,0.2
"D2 CHFU 5",0,0.1,0,0.2
"D2 CHFU 6",0,0.1,0,0.2
"D2 CHFU 7",0,0.1,0,0.2
"D2 CHFU 8",0,0.1,0,0.2
"D2 CHFU 9",0,0.1,0,0.2
"D3 CHFU 1",0,0,0,0.25
"D3 CHFU 2",0,0,0,0.25
"D3 CHFU 3",0,0,0,0.25
"D3 CHFU 4",0,0,0,0.25
"D4 CHFU 1",0,0,0,0.166666666666667
"D4 CHFU 2",0,0,0,0.166666666666667
"D4 CHFU 3",0,0,0,0.166666666666667
"D4 CHFU 4",0,0,0,0.166666666666667
"D4 CHFU 5",0,0,0,0.166666666666667
"D4 CHFU 6",0,0,0,0.166666666666667
"D5 CHFU 1",0,0,0,0.166666666666667
"D5 CHFU 2",0,0,0,0.166666666666667
"D5 CHFU 3",0,0,0,0.166666666666667
"D5 CHFU 4",0,0,0,0.166666666666667
"D5 CHFU 5",0,0,0,0.166666666666667
"D5 CHFU 6",0,0,0,0.166666666666667
"D6 CHFU 1",0,0,0,0.75
"D6 CHFU 2",0,0,0,0.75
"D6 CHFU 3",0,0,0,0.75
"D6 CHFU 4",0,0,0,0.75
"E1 CHFU 1",0,0,0,1
"E2 CHFU 1",0,0,0,1.5
"E2 CHFU 2",0,0,0,1.5
"E3 CHFU 1",0,0,0,0.285714285714286
"E3 CHFU 2",0,0,0,0.285714285714286
"E3 CHFU 3",0,0,0,0.285714285714286
"E3 CHFU 4",0,0,0,0.285714285714286
"E3 CHFU 5",0,0,0,0.285714285714286
"E3 CHFU 6",0,0,0,0.285714285714286
"E3 CHFU 7",0,0,0,0.285714285714286
"E4 CHFU 1",0,0,0,0.2
"E4 CHFU 10",0,0,0,0.2
"E4 CHFU 2",0,0,0,0.2
"E4 CHFU 3",0,0,0,0.2
"E4 CHFU 4",0,0,0,0.2
"E4 CHFU 5",0,0,0,0.2
"E4 CHFU 6",0,0,0,0.2
"E4 CHFU 7",0,0,0,0.2
"E4 CHFU 8",0,0,0,0.2
"E4 CHFU 9",0,0,0,0.2
"E5 CHFU 1",0,0,0,0.0714285714285714
"E5 CHFU 10",0,0,0,0.0714285714285714
"E5 CHFU 11",0,0,0,0.0714285714285714
"E5 CHFU 12",0,0,0,0.0714285714285714
"E5 CHFU 13",0,0,0,0.0714285714285714
"E5 CHFU 14",0,0,0,0.0714285714285714
"E5 CHFU 2",0,0,0,0.0714285714285714
"E5 CHFU 3",0,0,0,0.0714285714285714
"E5 CHFU 4",0,0,0,0.0714285714285714
"E5 CHFU 5",0,0,0,0.0714285714285714
"E5 CHFU 6",0,0,0,0.0714285714285714
"E5 CHFU 7",0,0,0,0.0714285714285714
"E5 CHFU 8",0,0,0,0.0714285714285714
"E5 CHFU 9",0,0,0,0.0714285714285714
"E6 CHFU 1",0,0,0.166666666666667,0
"E6 CHFU 2",0,0,0.166666666666667,0
"E6 CHFU 3",0,0,0.166666666666667,0
"E6 CHFU 4",0,0,0.166666666666667,0
"E6 CHFU 5",0,0,0.166666666666667,0
"E6 CHFU 6",0,0,0.166666666666667,0
"F1 CHFU 1",0,0,0,2
"F2 CHFU 1",0,0,1,3
"F3 CHFU 1",0,0,0,0.5
"F3 CHFU 2",0,0,0,0.5
"F4 CHFU 1",0,0,0,0.272727272727273
"F4 CHFU 10",0,0,0,0.272727272727273
"F4 CHFU 11",0,0,0,0.272727272727273
"F4 CHFU 2",0,0,0,0.272727272727273
"F4 CHFU 3",0,0,0,0.272727272727273
"F4 CHFU 4",0,0,0,0.272727272727273
"F4 CHFU 5",0,0,0,0.272727272727273
"F4 CHFU 6",0,0,0,0.272727272727273
"F4 CHFU 7",0,0,0,0.272727272727273
"F4 CHFU 8",0,0,0,0.272727272727273
"F4 CHFU 9",0,0,0,0.272727272727273
"F5 CHFU 1",0,0,0,0.0714285714285714
"F5 CHFU 10",0,0,0,0.0714285714285714
"F5 CHFU 11",0,0,0,0.0714285714285714
"F5 CHFU 12",0,0,0,0.0714285714285714
"F5 CHFU 13",0,0,0,0.0714285714285714
"F5 CHFU 14",0,0,0,0.0714285714285714
"F5 CHFU 2",0,0,0,0.0714285714285714
"F5 CHFU 3",0,0,0,0.0714285714285714
"F5 CHFU 4",0,0,0,0.0714285714285714
"F5 CHFU 5",0,0,0,0.0714285714285714
"F5 CHFU 6",0,0,0,0.0714285714285714
"F5 CHFU 7",0,0,0,0.0714285714285714
"F5 CHFU 8",0,0,0,0.0714285714285714
"F5 CHFU 9",0,0,0,0.0714285714285714
