"Plot";"Subplot";"Order";"Family";"Species";"ID";"ID_Simple";"G_F";"num.visits";"ID2";"Plant_Simple";"num.plantas";"Fruit";"Seed"
1;"A6";"Coleoptera";"Buprestidae";NA;"Buprestidae";"Anthaxia_semicuprea";"Flower_beetles";1;"LEMA";"LEMA";"6";2;128
1;"A6";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";1;"LEMA";"LEMA";"6";2;128
1;"A6";"Diptera";"Stratiomyidae";"Odontomyia_sp.";"Odontomyia_sp.";"Odontomyia_sp.";"Small_flies";1;"LEMA";"LEMA";"6";2;128
1;"B1";"Diptera";"Syrphidae";NA;"Syrphidae";"Eupeodes_corollae";"Hoverflies";1;"CHFU";"CHFU";"3";2;152
1;"B1";"Coleoptera";"Oedemeridae";NA;"Oedemeridae";"Oedemeridae";"Flower_beetles";1;"LEMA";"LEMA";"10";2;128
1;"B1";"Diptera";"Syrphidae";NA;"Syrphidae";"Eupeodes_corollae";"Hoverflies";1;"LEMA";"LEMA";"10";2;128
1;"B2";"Diptera";"Empididae";NA;"Empididae";"Empididae";"Small_flies";2;"CHFU";"CHFU";"3";2;152
1;"B2";"Diptera";"Syrphidae";"Sphaerophoria_scripta";"Sphaerophoria_scripta";"Sphaerophoria_scripta";"Hoverflies";1;"CHFU";"CHFU";"3";2;152
1;"B2";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";2;"LEMA";"LEMA";"30";2;128
1;"B2";"Diptera";"Stratiomyidae";"Odontomyia_sp.";"Odontomyia_sp.";"Odontomyia_sp.";"Small_flies";1;"LEMA";"LEMA";"30";2;128
1;"B2";"Diptera";"Syrphidae";"Sphaerophoria_sp.";"Sphaerophoria_sp.";"Sphaerophoria_scripta";"Hoverflies";1;"LEMA";"LEMA";"30";2;128
1;"B2";"Diptera";"Empididae";NA;"Empididae";"Empididae";"Small_flies";1;"ME";"ME";"1";0;0
1;"B5";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";1;"LEMA";"LEMA";"30";6;384
1;"C1";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";1;"LEMA";"LEMA";"12";2;128
1;"C1";"Diptera";"Muscidae";NA;"Muscidae";"Musca_sp.";"House_flies";1;"LEMA";"LEMA";"12";2;128
1;"C2";"Diptera";"Bibionidae";"Dilophus_sp.";"Dilophus_sp.";"Dilophus_sp.";"Small_flies";1;"LEMA";"LEMA";"25";2;128
1;"C3";"Coleoptera";"Melyridae";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Psilothrix_viridicoerulea";"Flower_beetles";1;"LEMA";"LEMA";"11";2;128
1;"C3";"Diptera";"Stratiomyidae";"Odontomyia_sp.";"Odontomyia_sp.";"Odontomyia_sp.";"Small_flies";1;"LEMA";"LEMA";"11";2;128
1;"C4";"Diptera";"Bibionidae";"Dilophus_sp.";"Dilophus_sp.";"Dilophus_sp.";"Small_flies";1;"CHFU";"CHFU";"3";1;76
1;"C4";"Hymenoptera";NA;NA;"Apoidea";"Andrena_cinerea";"Bees";2;"LEMA";"LEMA";"25";2;128
1;"C5";"Diptera";"Bibionidae";"Dilophus_sp.";"Dilophus_sp.";"Dilophus_sp.";"Small_flies";2;"CHFU";"CHFU";"4";2;152
1;"C5";"Diptera";"Bibionidae";"Dilophus_sp.";"Dilophus_sp.";"Dilophus_sp.";"Small_flies";1;"LEMA";"LEMA";"15";1;64
1;"C5";"Diptera";"Syrphidae";"Eupeodes_corollae";"Eupeodes_corollae";"Eupeodes_corollae";"Hoverflies";1;"LEMA";"LEMA";"15";1;64
1;"C5";"Diptera";NA;NA;"Diptera";"Diptera";"Flies";1;"LEMA";"LEMA";"15";1;64
