year,plot,subplot,focal,fruit,seed
2019,2,D5,PAIN,1,1
2019,2,D6,HOMA,1,12
2019,2,D6,LEMA,6,288
2019,2,D6,PAIN,1,1
2019,2,D6,POMA,1,86
2019,2,D6,PUPA,7,630
2019,2,E1,CHFU,1,84
2019,2,E1,HOMA,1,12
2019,2,E1,LEMA,3,144
2019,2,E1,MESU,180,360
2019,2,E1,PAIN,1,1
2019,2,E2,CHFU,3,252
2019,2,E2,HOMA,1,12
2019,2,E2,LEMA,4,192
2019,2,E2,MESU,140,280
2019,2,E2,PAIN,1,1
2019,2,E3,CHFU,2,168
2019,2,E3,HOMA,1,12
2019,2,E3,LEMA,2,96
2019,2,E3,MESU,260,520
2019,2,E3,PAIN,1,1
2019,2,E4,CHFU,3,252
2019,2,E4,HOMA,1,12
2019,2,E4,LEMA,2,96
2019,2,E4,MESU,240,480
2019,2,E4,PAIN,1,1
2019,2,E5,HOMA,1,12
2019,2,E5,LEMA,2,96
2019,2,E5,MESU,240,480
2019,2,E5,PAIN,1,1
2019,2,E6,CETE,14,4732
2019,2,E6,CHFU,2,168
2019,2,E6,HOMA,1,12
2019,2,E6,LEMA,6,288
2019,2,E6,MEEL,20,20
2019,2,E6,MESU,140,280
2019,2,E6,PAIN,1,1
2019,2,E6,SASO,25,50
2019,2,F1,CHFU,1,84
2019,2,F1,HOMA,1,12
2019,2,F1,LEMA,3,144
2019,2,F1,MESU,180,360
2019,2,F1,PAIN,1,1
2019,2,F2,CHFU,2,168
2019,2,F2,HOMA,1,12
2019,2,F2,LEMA,2,96
2019,2,F2,MESU,120,240
2019,2,F2,PAIN,1,1
2019,2,F3,CHFU,2,168
2019,2,F3,HOMA,1,12
2019,2,F3,LEMA,4,192
2019,2,F3,MESU,140,280
2019,2,F3,PAIN,1,1
2019,2,F4,CETE,10,3380
2019,2,F4,CHFU,5,420
2019,2,F4,HOMA,1,12
2019,2,F4,LEMA,6,288
2019,2,F4,PAIN,1,1
