node_to,layer_to,module_from,Plot,k.is,ks.bar,SD.ks,z,k.i,sum_aux_c,c
D1 LEMA,LEMA,2,5,0.041666666666666664,0.8125,1.8077283934386947,-0.4264099275815654,0.041666666666666664,0,1
D2 LEMA,LEMA,5,5,1,0.6666666666666666,0.4714045207910317,0.7071067811865476,1.15,0.01228733459357278,0.9877126654064272
D5 LEMA,LEMA,1,5,0.05,0.8916666666666666,2.1826980882871574,-0.38560837670735904,0.05,0,1
E1 LEMA,LEMA,1,5,1.1,0.8916666666666666,2.1826980882871574,0.09544761799687113,1.1833333333333333,0.0049593334655822245,0.9950406665344178
Elateridae LEMA,LEMA,1,5,0.14285714285714285,0.8916666666666666,2.1826980882871574,-0.3430660098287537,0.14285714285714285,0,1
F1 LEMA,LEMA,1,5,0.55,0.8916666666666666,2.1826980882871574,-0.1565340935148685,0.55,0,1
F2 LEMA,LEMA,1,5,0.2,0.8916666666666666,2.1826980882871574,-0.3168860917496119,0.24166666666666667,0.02972651605231866,0.9702734839476813
F3 LEMA,LEMA,1,5,0.1,0.8916666666666666,2.1826980882871574,-0.36270094838811,0.225,0.308641975308642,0.691358024691358
F4 LEMA,LEMA,1,5,0.125,0.8916666666666666,2.1826980882871574,-0.35124723422848547,0.20833333333333331,0.16000000000000003,0.84
F5 LEMA,LEMA,1,5,0.05,0.8916666666666666,2.1826980882871574,-0.38560837670735904,0.05,0,1
F6 LEMA,LEMA,1,5,0.65,0.8916666666666666,2.1826980882871574,-0.11071923687637039,0.7333333333333333,0.012913223140495866,0.9870867768595042
Lasioglossum_malachurum PUPA,PUPA,4,5,1,1,0,NaN,1,0,1
Lasioglossum_sp LEMA,LEMA,5,5,0.3333333333333333,0.6666666666666666,0.4714045207910317,-0.7071067811865475,0.3333333333333333,0,1
Musca_sp LEMA,LEMA,6,5,0.25,0.625,0.5303300858899106,-0.7071067811865476,0.25,0,1
Psilothrix_viridicoerulea LEMA,LEMA,2,5,4.5,0.8125,1.8077283934386947,2.03985289680911,6.833333333333333,0.04878048780487805,0.9512195121951219
Ulidiidae LEMA,LEMA,1,5,0.4444444444444444,0.8916666666666666,2.1826980882871574,-0.20489421996661653,0.4444444444444444,0,1
A3 LEMA,LEMA,1,6,0.3333333333333333,0.992063492063492,1.8008910349810692,-0.3657801310211326,0.3333333333333333,0,1
A5 LEMA,LEMA,1,6,0.16666666666666666,0.992063492063492,1.8008910349810692,-0.4583269111590096,0.16666666666666666,0,1
B6 LEMA,LEMA,1,6,0.16666666666666666,0.992063492063492,1.8008910349810692,-0.4583269111590096,0.16666666666666666,0,1
Brassicogethes_sp LEMA,LEMA,1,6,5.35,0.992063492063492,1.8008910349810692,2.419877951128963,5.635714285714286,0.0025701944191440923,0.9974298055808559
C2 LEMA,LEMA,1,6,0.19444444444444442,0.992063492063492,1.8008910349810692,-0.4429024478026968,0.19444444444444442,0,1
C3 LEMA,LEMA,1,6,0.08333333333333333,0.992063492063492,1.8008910349810692,-0.5046003012279481,0.08333333333333333,0,1
C6 LEMA,LEMA,2,6,2,0.9047619047619048,0.9724084693648637,1.1263148458111012,2.111111111111111,0.0027700831024930744,0.997229916897507
C6 PUPA,PUPA,3,6,0.42857142857142855,1,1.3401187885209798,-0.4264014327112209,0.42857142857142855,0,1
D6 LEMA,LEMA,1,6,0.1388888888888889,0.992063492063492,1.8008910349810692,-0.4737513745153224,0.1388888888888889,0,1
E5 PUPA,PUPA,3,6,0.42857142857142855,1,1.3401187885209798,-0.4264014327112209,0.42857142857142855,0,1
E6 LEMA,LEMA,1,6,2.638888888888889,0.992063492063492,1.8008910349810692,0.9144503275528316,2.638888888888889,0,1
F3 PUPA,PUPA,3,6,0.14285714285714285,1,1.3401187885209798,-0.6396021490668314,0.14285714285714285,0,1
F4 LEMA,LEMA,1,6,0.05555555555555555,0.992063492063492,1.8008910349810692,-0.5200247645842608,0.05555555555555555,0,1
F5 LEMA,LEMA,1,6,0.05555555555555555,0.992063492063492,1.8008910349810692,-0.5200247645842608,0.05555555555555555,0,1
F6 LEMA,LEMA,1,6,0.05555555555555555,0.992063492063492,1.8008910349810692,-0.5200247645842608,0.05555555555555555,0,1
Lasioglossum_malachurum LEMA,LEMA,2,6,0.5714285714285714,0.9047619047619048,0.9724084693648637,-0.3427914748120743,1.5714285714285714,0.4049586776859504,0.5950413223140496
Lasioglossum_malachurum PUPA,PUPA,3,6,3,1,1.3401187885209798,1.492405014489273,3.3125,0.0088999644001424,0.9911000355998576
Malachius_bipustulatus LEMA,LEMA,2,6,0.14285714285714285,0.9047619047619048,0.9724084693648637,-0.7835233709990268,0.14285714285714285,0,1
Musca_sp LEMA,LEMA,1,6,0.08333333333333333,0.992063492063492,1.8008910349810692,-0.5046003012279481,0.08333333333333333,0,1
Oedemeridae LEMA,LEMA,1,6,0.08333333333333333,0.992063492063492,1.8008910349810692,-0.5046003012279481,0.08333333333333333,0,1
Psilothrix_viridicoerulea LEMA,LEMA,1,6,4.483333333333333,0.992063492063492,1.8008910349810692,1.9386346944120032,4.483333333333333,0,1
A1 LEMA,LEMA,14,7,1,0.75,0.3535533905932738,0.7071067811865475,1.0416666666666667,0.0015999999999999994,0.9984
A2 LEMA,LEMA,3,7,0.07272727272727272,0.7718939393939394,2.2559839610550196,-0.3099165059399175,0.07272727272727272,0,1
A2 SPRU,SPRU,2,7,1,1.833996212121212,1.1520612517658997,-0.7239165546474617,1,0,1
A3 LEMA,LEMA,3,7,0.03636363636363636,0.7718939393939394,2.2559839610550196,-0.3260352536754425,0.03636363636363636,0,1
A4 CHFU,CHFU,6,7,0.2,1,1.6792855623746665,-0.47639306734033093,0.2,0,1
A4 LEMA,LEMA,4,7,0.125,0.6171768707482993,1.0799084308323699,-0.45575796678329483,0.16136363636363638,0.050783574687561985,0.949216425312438
A5 LEMA,LEMA,4,7,0.5833333333333334,0.6171768707482993,1.0799084308323699,-0.031339265856902394,0.5833333333333334,0,1
A6 LEMA,LEMA,11,7,0.5,0.5666666666666667,0.11547005383792512,-0.5773502691896258,0.5181818181818182,0.0012311480455524776,0.9987688519544475
Anastoechus_sp LEMA,LEMA,10,7,0.25,0.8333333333333334,1.0103629710818451,-0.5773502691896257,0.25,0,1
Andrena_humilis LEMA,LEMA,1,7,6.972369297369298,0.7107748312293767,2.077456680959578,3.0140674044031996,8.83070263070263,0.011627608247386798,0.9883723917526132
B1 LEMA,LEMA,1,7,0.046153846153846156,0.7107748312293767,2.077456680959578,-0.31992050239456343,0.12948717948717947,0.4141750808744241,0.5858249191255759
B2 LEMA,LEMA,13,7,1,0.6,0.565685424949238,0.7071067811865476,1.067132867132867,0.0019925485554881835,0.9980074514445119
B2 MESU,MESU,5,7,1,1.25,0.28867513459481287,-0.8660254037844387,1,0,1
B3 LEMA,LEMA,1,7,0.15384615384615385,0.7107748312293767,2.077456680959578,-0.2680819689226816,0.1955128205128205,0.045417898414404724,0.9545821015855953
B4 LEMA,LEMA,1,7,0.046153846153846156,0.7107748312293767,2.077456680959578,-0.31992050239456343,0.106002331002331,0.18392655135865055,0.8160734486413495
B5 LEMA,LEMA,1,7,0.15384615384615385,0.7107748312293767,2.077456680959578,-0.2680819689226816,0.2083916083916084,0.06851042745822261,0.9314895725417773
B6 LEMA,LEMA,1,7,0.12307692307692308,0.7107748312293767,2.077456680959578,-0.2828929784860764,0.12307692307692308,0,1
Braconidae LEMA,LEMA,14,7,0.5,0.75,0.3535533905932738,-0.7071067811865475,0.5,0,1
Brassicogethes_sp LEMA,LEMA,3,7,7.191666666666666,0.7718939393939394,2.2559839610550196,2.8456641705335954,11.543864468864468,0.029204674680988318,0.9707953253190117
C1 LEMA,LEMA,1,7,0.046153846153846156,0.7107748312293767,2.077456680959578,-0.31992050239456343,0.106002331002331,0.18392655135865055,0.8160734486413495
C1 MESU,MESU,2,7,1,1.833996212121212,1.1520612517658997,-0.7239165546474617,1,0,1
C2 BEMA,BEMA,5,7,1,1.25,0.28867513459481287,-0.8660254037844387,2,0.25,0.75
C2 LEMA,LEMA,1,7,0.03076923076923077,0.7107748312293767,2.077456680959578,-0.32732600717626087,0.04895104895104895,0.13795918367346935,0.8620408163265306
C3 LEMA,LEMA,3,7,0.01818181818181818,0.7718939393939394,2.2559839610550196,-0.334094627543205,0.01818181818181818,0,1
C4 CETE,CETE,7,7,1,1.0677083333333333,0.5377462291308461,-0.12591131218673454,1,0,1
C4 LEMA,LEMA,1,7,0.046153846153846156,0.7107748312293767,2.077456680959578,-0.31992050239456343,0.5484265734265734,0.40706621154866607,0.5929337884513339
C5 LEMA,LEMA,3,7,0.01818181818181818,0.7718939393939394,2.2559839610550196,-0.334094627543205,0.01818181818181818,0,1
C6 LEMA,LEMA,3,7,0.12727272727272726,0.7718939393939394,2.2559839610550196,-0.28573838433662996,0.6272727272727272,0.6353707204368831,0.36462927956311686
Cryptocephalus_sp LEMA,LEMA,11,7,0.7,0.5666666666666667,0.11547005383792512,1.1547005383792517,0.7,0,1
Cylindromyia_sp LEMA,LEMA,10,7,0.25,0.8333333333333334,1.0103629710818451,-0.5773502691896257,0.25,0,1
D1 LEMA,LEMA,1,7,0.16923076923076924,0.7107748312293767,2.077456680959578,-0.26067646414098417,0.2965034965034965,0.10904681381274474,0.8909531861872553
D4 LEMA,LEMA,12,7,1,0.8333333333333333,0.23570226039551587,0.7071067811865478,1.0909090909090908,0.006944444444444446,0.9930555555555556
D5 LEMA,LEMA,11,7,0.5,0.5666666666666667,0.11547005383792512,-0.5773502691896258,0.5643356643356643,0.00772669132697325,0.9922733086730268
D6 LEMA,LEMA,2,7,1.3636363636363638,1.833996212121212,1.1520612517658997,-0.40827677153786096,1.7696969696969698,0.03716691686995683,0.9628330831300431
E1 CHFU,CHFU,6,7,0.2,1,1.6792855623746665,-0.47639306734033093,0.2,0,1
E1 LEMA,LEMA,10,7,2,0.8333333333333334,1.0103629710818451,1.1547005383792512,2.036363636363636,3.1887755102040825e-4,0.9996811224489796
E2 LEMA,LEMA,4,7,0.125,0.6171768707482993,1.0799084308323699,-0.45575796678329483,0.27045454545454545,0.15366146458583435,0.8463385354141657
E4 CHFU,CHFU,6,7,0.2,1,1.6792855623746665,-0.47639306734033093,0.2,0,1
E4 LEMA,LEMA,3,7,0.03636363636363636,0.7718939393939394,2.2559839610550196,-0.3260352536754425,0.16893939393939394,0.35039916346598565,0.6496008365340143
E5 LEMA,LEMA,7,7,0.3333333333333333,1.0677083333333333,0.5377462291308461,-1.36565346294843,0.375,0.012345679012345678,0.9876543209876543
E6 BEMA,BEMA,8,7,1,1,0,NaN,1,0,1
E6 LEMA,LEMA,3,7,0.10909090909090909,0.7718939393939394,2.2559839610550196,-0.29379775820439247,0.2153846153846154,0.18325181312194297,0.8167481868780571
Episyrphus_balteatus BEMA,BEMA,8,7,1,1,0,NaN,1,0,1
F1 LEMA,LEMA,4,7,0.041666666666666664,0.6171768707482993,1.0799084308323699,-0.5329250033153663,0.041666666666666664,0,1
F1 SPRU,SPRU,9,7,1,1,0,NaN,1,0,1
F2 CHFU,CHFU,6,7,0.4,1,1.6792855623746665,-0.3572948005052482,0.4,0,1
