Line,Plot,Subplot,Plant,ID,type_seed_per_fruit,Seeds_GF,visits_GF,Visits_tot,homo_motif,hete_motif,Real_PR_Multi,Real_PR_Layer,StrengthIn,StrengthOut,DegreeIn,DegreeOut,Delta,Ratio
1,2,E1,LEMA,Mordellidae,Individual,102,1,1,1,0,0.009090013519121903,0.008405556452850028,0.3790849673202614,1,2,2,6.844570662718746e-4,1.0814291201434736
1,2,E2,CHFU,Eucera_sp,Individual,28,1,1,1,0,0.008023648648648646,0.008023648648648648,0.5,1,1,1,-1.734723475976807e-18,0.9999999999999998
1,2,E2,LEMA,Brassicogethes_sp,Individual,110,6,6,38,0,0.01198661920867041,0.011115782376476025,0.7238310708898944,1,4,4,8.708368321943844e-4,1.0783423786738853
1,2,E2,LEMA,Musca_sp,Individual,110,2,2,6,0,0.01198661920867041,0.011115782376476025,0.7238310708898944,1,4,4,8.708368321943844e-4,1.0783423786738853
1,2,E2,LEMA,Psilothrix_viridicoerulea,Individual,110,2,2,23,0,0.01198661920867041,0.011115782376476025,0.7238310708898944,1,4,4,8.708368321943844e-4,1.0783423786738853
1,2,E2,LEMA,Sphaerophoria_scripta,Individual,110,1,1,1,0,0.01198661920867041,0.011115782376476025,0.7238310708898944,1,4,4,8.708368321943844e-4,1.0783423786738853
1,2,E3,LEMA,Brassicogethes_sp,Individual,155,5,5,48,0,0.008356670066155756,0.007770790334952935,0.5583207642031172,1,3,3,5.858797312028215e-4,1.0753951279019254
1,2,E3,LEMA,Psilothrix_viridicoerulea,Individual,155,1,1,4,0,0.008356670066155756,0.007770790334952935,0.5583207642031172,1,3,3,5.858797312028215e-4,1.0753951279019254
1,2,E3,LEMA,Sphaerophoria_scripta,Individual,155,1,1,1,0,0.008356670066155756,0.007770790334952935,0.5583207642031172,1,3,3,5.858797312028215e-4,1.0753951279019254
1,2,E4,LEMA,Brassicogethes_sp,Individual,18,6,6,33,0,0.008633791653162961,0.0079363483448604,0.09049773755656108,1,2,2,6.974433083025613e-4,1.0878796239777235
1,2,E4,LEMA,Psilothrix_viridicoerulea,Individual,18,2,2,19,0,0.008633791653162961,0.0079363483448604,0.09049773755656108,1,2,2,6.974433083025613e-4,1.0878796239777235
1,2,E5,LEMA,Brassicogethes_sp,Individual,45.5,3,3,48,0,0.008802526273237842,0.007493972828519153,0.3465309200603318,1,3,3,0.0013085534447186886,1.1746141165255952
1,2,E5,LEMA,Lasioglossum_malachurum,Individual,45.5,1,1,2,2,0.008802526273237842,0.007493972828519153,0.3465309200603318,1,3,3,0.0013085534447186886,1.1746141165255952
1,2,E5,LEMA,Psilothrix_viridicoerulea,Individual,45.5,3,3,19,0,0.008802526273237842,0.007493972828519153,0.3465309200603318,1,3,3,0.0013085534447186886,1.1746141165255952
1,2,E6,LEMA,Brassicogethes_sp,Individual,83,2,2,48,0,0.004666147514319719,0.004427499010115692,0.3464052287581699,1,2,2,2.3864850420402678e-4,1.0539014246324565
1,2,E6,LEMA,Mordellidae,Individual,83,1,1,0,0,0.004666147514319719,0.004427499010115692,0.3464052287581699,1,2,2,2.3864850420402678e-4,1.0539014246324565
1,2,E6,PUPA,Bombilus_major,Individual,14,1,1,0,2,0.003720635635038152,0.004693668368429877,0.25,1,1,1,-9.730327333917245e-4,0.7926924833598282
1,2,F1,LEMA,Brassicogethes_sp,Individual,57,4,4,33,0,0.018849786140395144,0.014023508216459573,2.526143790849673,1,5,5,0.004826277923935571,1.3441562446029665
1,2,F1,LEMA,Cryptocephalus_sp,Individual,57,1,1,0,0,0.018849786140395144,0.014023508216459573,2.526143790849673,1,5,5,0.004826277923935571,1.3441562446029665
1,2,F1,LEMA,Oedemeridae,Individual,57,3,3,1,0,0.018849786140395144,0.014023508216459573,2.526143790849673,1,5,5,0.004826277923935571,1.3441562446029665
