Plot,Subplot,Plant,Seeds_GF,Fruit_GF,visits_GF,ID,homo_motif,hete_motif,Real_PR_Multi,Real_PR_Layer,StrengthIn,StrengthOut,DegreeIn,DegreeOut,Delta,Ratio
2,A3,CHFU,6.5,6.5,1,Ulidiidae,4,0,0.0025353687686161656,0.004237049549549548,0.058823529411764705,1,1,1,-0.0017016807809333823,0.5983807220016362
2,A3,LEMA,744,12,1,Braconidae,0,0,0.007693652531329288,0.006882515079058566,0.3851181498240322,0.9999999999999999,3,3,8.111374522707226e-4,1.1178548020532162
2,A3,LEMA,744,12,4,Brassicogethes_sp,38,0,0.007693652531329288,0.006882515079058566,0.3851181498240322,0.9999999999999999,3,3,8.111374522707226e-4,1.1178548020532162
2,A3,LEMA,744,12,1,Psilothrix_viridicoerulea,19,0,0.007693652531329288,0.006882515079058566,0.3851181498240322,0.9999999999999999,3,3,8.111374522707226e-4,1.1178548020532162
2,A4,BEMA,172,43,1,Braconidae,0,1,0.004766351399606007,0.010416666666666666,1,1,1,1,-0.005650315267060659,0.45756973436217674
2,A4,LEMA,329,7,3,Brassicogethes_sp,33,0,0.004216819602881311,0.003949334465640602,0.0196078431372549,1,1,1,2.6748513724070885e-4,1.0677291679314178
2,A5,CETE,1488,8,2,Bombilus_major,0,2,0.006878733524748032,0.009985923423423429,0.4,1,1,1,-0.003107189898675397,0.6888430076093881
2,A5,CHFU,32,1,1,Ulidiidae,5,0,0.002535368768616166,0.004237049549549549,0.058823529411764705,1,1,1,-0.0017016807809333828,0.5983807220016361
2,A5,LEMA,195,3,1,Braconidae,0,1,0.005042779905708247,0.0044912023951752325,0.3464052287581699,1,2,2,5.515775105330144e-4,1.1228128821639296
2,A5,LEMA,195,3,2,Brassicogethes_sp,33,0,0.005042779905708247,0.0044912023951752325,0.3464052287581699,1,2,2,5.515775105330144e-4,1.1228128821639296
2,A5,PUPA,156,6.5,2,Lasioglossum_malachurum,2,1,0.00326673096086146,0.007133405257048898,0.4,1,1,1,-0.0038666742961874375,0.4579483210537393
