Plot,G_F,Subplot_Plant_Label,Visits_tot,homo_motif,hete_motif
2,Hoverflies,A5 ME,1,0,18
2,Small_flies,B1 CHFU,1,6,30
2,Flower_beetles,B1 LEMA,3,40,6
2,Small_beetles,B2 LEMA,1,12,0
2,Flower_beetles,B3 LEMA,1,40,6
2,Flower_beetles,B4 LEMA,2,40,6
2,Flower_beetles,B5 ME,1,4,42
2,House_flies,B5 ME,2,2,2
2,Flower_beetles,B6 LEMA,1,40,6
2,Flower_beetles,C1 LEMA,1,40,6
2,Hoverflies,C1 LEMA,1,16,2
2,Small_flies,C1 LEMA,2,26,10
2,Flower_beetles,C1 ME,1,4,42
2,Flower_beetles,C3 LEMA,2,40,6
2,Small_flies,C3 LEMA,1,26,10
2,Flower_beetles,C5 LEMA,1,40,6
2,Hoverflies,C5 LEMA,1,16,2
2,Flower_beetles,C6 LEMA,1,40,6
2,Small_beetles,C6 LEMA,1,12,0
2,Flower_beetles,D1 LEMA,2,40,6
2,House_flies,D1 LEMA,1,0,4
2,Hoverflies,D1 LEMA,1,16,2
2,Small_beetles,D1 LEMA,1,12,0
2,Small_flies,D1 LEMA,3,26,10
2,Bees,D2 ME,1,0,6
2,House_flies,D3 ME,2,2,2
2,Flower_beetles,D4 LEMA,1,40,6
2,Small_flies,D4 LEMA,2,26,10
2,Hoverflies,D5 LEMA,1,16,2
2,Hoverflies,D6 LEMA,1,16,2
2,Small_flies,D6 LEMA,1,26,10
2,Small_flies,E1 CHFU,1,6,30
2,Flower_beetles,E1 LEMA,3,40,6
2,Small_flies,E1 LEMA,5,26,10
2,Hoverflies,E2 LEMA,1,16,2
2,Small_flies,E2 LEMA,1,26,10
2,Small_flies,E2 ME,1,0,36
2,Small_beetles,E3 LEMA,1,12,0
2,Bees,E4 LEMA,1,4,2
2,Flower_beetles,E4 LEMA,3,40,6
2,Flower_beetles,E4 ME,1,4,42
2,Flower_beetles,E5 LEMA,1,40,6
2,Small_flies,E5 LEMA,1,26,10
2,Bees,E6 LEMA,1,4,2
2,Flower_beetles,E6 LEMA,5,40,6
2,Hoverflies,E6 LEMA,1,16,2
2,Small_beetles,E6 LEMA,1,12,0
2,Flower_beetles,F1 LEMA,2,40,6
2,Small_flies,F1 LEMA,2,26,10
2,Flower_beetles,F2 LEMA,2,40,6
2,Small_flies,F2 LEMA,1,26,10
2,Bees,F3 LEMA,1,4,2
2,Flower_beetles,F3 LEMA,4,40,6
2,Small_beetles,F3 LEMA,3,12,0
2,Small_flies,F3 LEMA,3,26,10
2,Flower_beetles,F4 LEMA,1,40,6
2,Flower_beetles,F6 LEMA,1,40,6
2,Small_beetles,F6 LEMA,3,12,0
2,Small_flies,F6 LEMA,1,26,10
3,Small_flies,A1 LEMA,1,10,4
3,Flower_beetles,A5 LEMA,1,44,4
3,Hoverflies,A6 CHFU,3,6,16
3,Flower_beetles,B1 LEMA,2,44,4
3,Hoverflies,B1 LEMA,2,14,8
3,Flower_beetles,B2 LEMA,2,44,4
3,Flower_beetles,B3 LEMA,2,44,4
3,Hoverflies,B3 LEMA,1,14,8
3,Flower_beetles,B5 LEMA,2,44,4
3,Flower_beetles,B6 LEMA,2,44,4
3,Flower_beetles,C1 LEMA,2,44,4
3,Hoverflies,C3 CHFU,1,6,16
3,Bees,C3 LEMA,1,6,0
3,Flower_beetles,C3 ME,1,2,46
3,Small_flies,C3 ME,1,0,14
3,Hoverflies,C4 LEMA,1,14,8
3,Flower_beetles,C5 LEMA,1,44,4
3,Flower_beetles,C6 LEMA,4,44,4
3,Small_beetles,C6 LEMA,1,10,2
3,Flower_beetles,D1 LEMA,3,44,4
3,Small_beetles,D2 CHFU,1,0,12
3,Bees,D2 LEMA,5,6,0
3,Flower_beetles,D2 LEMA,3,44,4
3,Hoverflies,D2 LEMA,1,14,8
3,Small_flies,D2 LEMA,2,10,4
3,Hoverflies,D3 CHFU,2,6,16
3,Flower_beetles,D3 LEMA,4,44,4
3,Hoverflies,D3 LEMA,1,14,8
3,Small_flies,D3 LEMA,1,10,4
3,Flower_beetles,D4 ME,1,2,46
3,Flower_beetles,D5 LEMA,2,44,4
3,Small_flies,D5 LEMA,1,10,4
3,Flower_beetles,D6 LEMA,5,44,4
3,Hoverflies,D6 LEMA,3,14,8
3,Flower_beetles,E1 LEMA,6,44,4
3,Small_beetles,E1 LEMA,1,10,2
3,Small_flies,E2 CHFU,1,0,14
3,Flower_beetles,E2 LEMA,5,44,4
3,Hoverflies,E3 LEMA,1,14,8
3,Small_beetles,E3 LEMA,1,10,2
3,Small_flies,E4 LEMA,1,10,4
3,Flower_beetles,E5 LEMA,2,44,4
3,Flower_beetles,F1 LEMA,4,44,4
3,Hoverflies,F1 LEMA,1,14,8
3,Small_beetles,F1 LEMA,1,10,2
3,Hoverflies,F2 CHFU,1,6,16
3,Bees,F2 LEMA,1,6,0
3,Flower_beetles,F2 LEMA,4,44,4
3,Flower_beetles,F3 LEMA,1,44,4
3,Small_beetles,F3 LEMA,1,10,2
3,Flower_beetles,F4 LEMA,3,44,4
3,Small_beetles,F4 LEMA,1,10,2
3,Bees,F5 LEMA,1,6,0
3,Flower_beetles,F5 LEMA,2,44,4
3,Small_flies,F5 LEMA,1,10,4
3,Flower_beetles,F6 LEMA,2,44,4
4,Flower_beetles,A1 LEMA,1,28,6
4,Small_flies,A1 LEMA,1,16,18
4,Bees,A2 CHFU,1,0,12
4,Small_flies,A2 CHFU,2,16,18
4,Flower_beetles,A2 LEMA,3,28,6
4,Hoverflies,A2 LEMA,1,14,4
4,Small_beetles,A2 LEMA,4,6,0
4,Small_flies,A2 LEMA,1,16,18
4,Hoverflies,A5 CHFU,1,2,16
4,Hoverflies,A6 CHFU,1,2,16
4,Flower_beetles,B1 CHFU,2,4,30
4,Small_flies,B1 CHFU,1,16,18
4,Small_flies,B2 CHFU,1,16,18
4,Bees,B2 LEMA,1,8,4
4,Flower_beetles,B2 LEMA,2,28,6
4,Small_flies,B2 LEMA,1,16,18
4,Bees,B4 LEMA,2,8,4
4,Bees,B4 ME,1,0,12
4,Flower_beetles,B5 CHFU,2,4,30
4,Small_flies,B5 CHFU,1,16,18
4,Small_flies,B6 CHFU,2,16,18
4,Flower_beetles,B6 LEMA,2,28,6
4,Small_flies,C1 LEMA,1,16,18
4,Small_flies,C2 CHFU,1,16,18
4,Bees,C2 LEMA,1,8,4
4,Flower_beetles,C2 LEMA,2,28,6
4,Hoverflies,C2 LEMA,1,14,4
4,Small_flies,C2 LEMA,1,16,18
4,Flower_beetles,C3 LEMA,1,28,6
4,Bees,C4 LEMA,1,8,4
4,Flower_beetles,C4 LEMA,1,28,6
4,Hoverflies,C4 LEMA,2,14,4
4,Small_beetles,C4 LEMA,1,6,0
4,Hoverflies,C5 LEMA,1,14,4
4,Small_flies,C6 LEMA,1,16,18
4,Flower_beetles,D2 LEMA,1,28,6
4,Hoverflies,D5 LEMA,1,14,4
4,Small_flies,D5 LEMA,1,16,18
4,Small_flies,D6 CHFU,1,16,18
4,Flower_beetles,E1 LEMA,3,28,6
4,Small_beetles,E1 LEMA,1,6,0
4,Small_flies,E1 LEMA,3,16,18
4,Flower_beetles,E2 LEMA,1,28,6
4,Hoverflies,E2 LEMA,1,14,4
4,Flower_beetles,E4 LEMA,1,28,6
4,Hoverflies,E4 LEMA,2,14,4
4,Small_beetles,E4 LEMA,1,6,0
4,Small_flies,E5 CHFU,1,16,18
4,Small_flies,E5 LEMA,1,16,18
4,Bees,F1 LEMA,1,8,4
4,Flower_beetles,F1 LEMA,1,28,6
4,Hoverflies,F1 LEMA,1,14,4
4,Flower_beetles,F3 LEMA,1,28,6
4,Flower_beetles,F4 CHFU,1,4,30
4,Flower_beetles,F4 LEMA,2,28,6
4,Small_flies,F5 CHFU,3,16,18
4,Flower_beetles,F6 LEMA,3,28,6
5,Small_flies,A1 CHFU,1,18,14
5,Hoverflies,A1 LEMA,1,12,10
5,Small_beetles,A1 LEMA,1,8,2
5,Small_flies,A1 LEMA,1,12,20
5,Hoverflies,A2 LEMA,4,12,10
5,Hoverflies,A3 CHFU,2,8,14
5,Small_flies,A3 CHFU,2,18,14
5,Small_flies,A4 CHFU,2,18,14
5,Small_beetles,A4 LEMA,1,8,2
5,Small_flies,A5 CHFU,2,18,14
5,Flower_beetles,A6 LEMA,1,20,0
5,Small_flies,B1 CHFU,1,18,14
5,Hoverflies,B2 CHFU,1,8,14
5,Small_flies,B2 CHFU,1,18,14
5,Flower_beetles,B2 LEMA,2,20,0
5,Hoverflies,B2 LEMA,1,12,10
5,Hoverflies,B3 CHFU,1,8,14
5,Flower_beetles,B4 LEMA,2,20,0
5,Flower_beetles,B5 LEMA,1,20,0
5,Flower_beetles,C1 LEMA,1,20,0
5,Hoverflies,C1 LEMA,1,12,10
5,Small_flies,C1 LEMA,1,12,20
5,Hoverflies,C3 CHFU,2,8,14
5,Flower_beetles,C3 LEMA,1,20,0
5,Small_flies,C4 CHFU,1,18,14
5,Flower_beetles,C4 LEMA,1,20,0
5,Small_flies,C4 LEMA,1,12,20
5,Small_flies,C5 LEMA,3,12,20
5,Flower_beetles,D1 LEMA,3,20,0
5,Small_beetles,D1 LEMA,1,8,2
5,Small_flies,D1 LEMA,8,12,20
5,Small_flies,D2 CHFU,2,18,14
5,Hoverflies,D2 LEMA,2,12,10
5,Small_flies,D2 LEMA,1,12,20
5,Flower_beetles,D4 LEMA,1,20,0
5,Small_flies,D5 CHFU,1,18,14
5,Hoverflies,D5 LEMA,1,12,10
5,Small_beetles,E1 CHFU,1,0,10
5,Flower_beetles,E1 LEMA,4,20,0
5,Hoverflies,E1 LEMA,2,12,10
5,Small_flies,E1 LEMA,2,12,20
5,Small_beetles,E5 LEMA,1,8,2
5,Flower_beetles,F1 LEMA,1,20,0
5,Small_beetles,F4 LEMA,2,8,2
5,Small_flies,F5 CHFU,1,18,14
5,Hoverflies,F6 CHFU,4,8,14
6,Flower_beetles,A1 LEMA,3,20,2
6,Small_flies,A1 LEMA,2,28,6
6,Small_beetles,A2 CHFU,1,2,18
6,Small_flies,A2 CHFU,1,4,30
6,Small_beetles,A3 CHFU,2,2,18
6,Small_flies,A3 CHFU,1,4,30
6,Small_flies,A3 LEMA,1,28,6
6,Hoverflies,A4 LEMA,1,14,4
6,Small_flies,A4 LEMA,1,28,6
6,Flower_beetles,A5 CHFU,1,0,22
6,Small_flies,A6 CHFU,1,4,30
6,Small_flies,A6 LEMA,1,28,6
6,Small_beetles,B1 LEMA,1,16,4
6,Small_flies,B1 LEMA,1,28,6
6,Small_beetles,B2 LEMA,1,16,4
6,Hoverflies,B3 CHFU,2,0,18
6,Flower_beetles,B3 LEMA,1,20,2
6,Hoverflies,B3 LEMA,4,14,4
6,Small_beetles,B3 LEMA,1,16,4
6,Small_flies,B3 LEMA,2,28,6
6,Flower_beetles,B4 LEMA,1,20,2
6,Hoverflies,B4 LEMA,3,14,4
6,Small_beetles,B4 LEMA,1,16,4
6,Small_flies,B4 LEMA,2,28,6
6,Small_flies,B5 LEMA,1,28,6
6,Flower_beetles,B6 LEMA,4,20,2
6,Flower_beetles,C1 LEMA,3,20,2
6,Small_flies,C1 LEMA,2,28,6
6,Small_beetles,C3 LEMA,1,16,4
6,Bees,C4 LEMA,2,4,4
6,Small_flies,C4 LEMA,2,28,6
6,Flower_beetles,C6 LEMA,1,20,2
6,Hoverflies,C6 LEMA,1,14,4
6,Flower_beetles,D1 LEMA,1,20,2
6,Hoverflies,D1 LEMA,1,14,4
6,Small_flies,D1 LEMA,2,28,6
6,Bees,D2 LEMA,1,4,4
6,Bees,D3 LEMA,1,4,4
6,Flower_beetles,D3 LEMA,1,20,2
6,Hoverflies,D3 LEMA,1,14,4
6,Small_beetles,D3 LEMA,1,16,4
6,Small_flies,D4 LEMA,1,28,6
6,Flower_beetles,D5 LEMA,1,20,2
6,Small_flies,D5 LEMA,1,28,6
6,Small_beetles,E1 LEMA,2,16,4
6,Hoverflies,E2 LEMA,1,14,4
6,Bees,E3 CHFU,1,2,6
6,Hoverflies,E5 ME,1,0,18
6,Bees,F2 CHFU,1,2,6
6,Flower_beetles,F2 LEMA,1,20,2
6,Small_flies,F3 LEMA,1,28,6
6,Hoverflies,F4 LEMA,1,14,4
6,Small_flies,F4 LEMA,1,28,6
6,Flower_beetles,F5 LEMA,2,20,2
6,Small_beetles,F5 LEMA,1,16,4
6,Small_beetles,F6 LEMA,1,16,4
7,Small_flies,A1 CHFU,1,54,22
7,Flower_beetles,A4 LEMA,1,24,6
7,Hoverflies,A4 LEMA,2,30,12
7,House_flies,A5 CHFU,1,2,2
7,Small_flies,A5 CHFU,7,54,22
7,Hoverflies,A5 LEMA,2,30,12
7,Hoverflies,A5 ME,2,4,38
7,Small_flies,A6 LEMA,1,14,62
7,Humbleflies,A6 PUPA,1,14,0
7,Small_flies,B1 CHFU,1,54,22
7,Hoverflies,B2 CHFU,1,4,38
7,Small_flies,B2 CHFU,3,54,22
7,Small_flies,B3 CHFU,2,54,22
7,Bees,B3 LEMA,1,12,14
7,Flower_beetles,B3 LEMA,1,24,6
7,Hoverflies,B3 ME,1,4,38
7,Small_flies,B4 CHFU,1,54,22
7,Bees,B4 LEMA,4,12,14
7,Butterflies,B4 PUPA,1,10,0
7,Humbleflies,B4 PUPA,1,14,0
7,Small_flies,B5 CHFU,2,54,22
7,Bees,B5 LEMA,2,12,14
7,Hoverflies,B5 LEMA,2,30,12
7,Small_flies,B5 LEMA,1,14,62
7,Hoverflies,B5 ME,1,4,38
7,Bees,B5 PUPA,1,10,16
7,Humbleflies,B5 PUPA,1,14,0
7,Small_flies,B6 CHFU,6,54,22
7,Flower_beetles,B6 LEMA,2,24,6
7,Hoverflies,B6 LEMA,2,30,12
7,Hoverflies,C1 LEMA,2,30,12
7,Small_flies,C1 LEMA,2,14,62
7,Bees,C2 CHFU,2,0,26
7,Small_flies,C2 CHFU,2,54,22
7,Flower_beetles,C2 LEMA,3,24,6
7,Hoverflies,C2 LEMA,1,30,12
7,Small_flies,C2 LEMA,1,14,62
7,Bees,C2 PUPA,2,10,16
7,Humbleflies,C2 PUPA,1,14,0
7,Small_flies,C2 PUPA,1,0,76
7,Small_flies,C3 CHFU,3,54,22
7,Bees,C3 LEMA,2,12,14
7,Flower_beetles,C3 LEMA,3,24,6
7,Butterflies,C3 PUPA,1,10,0
7,Bees,C4 LEMA,3,12,14
7,Flower_beetles,C4 LEMA,1,24,6
7,Hoverflies,C4 LEMA,2,30,12
7,Humbleflies,C4 PUPA,1,14,0
7,Small_flies,C5 CHFU,1,54,22
7,Hoverflies,C5 LEMA,2,30,12
7,Small_flies,C6 CHFU,3,54,22
7,Hoverflies,C6 LEMA,1,30,12
7,Small_flies,D1 CHFU,2,54,22
7,Flower_beetles,D1 CHMI,2,4,26
7,Hoverflies,D1 LEMA,1,30,12
7,House_flies,D2 CHFU,1,2,2
7,Small_flies,D2 CHFU,2,54,22
7,Flower_beetles,D2 LEMA,1,24,6
7,Small_flies,D2 LEMA,1,14,62
7,Small_flies,D2 ME,1,0,76
7,Bees,D2 PUPA,2,10,16
7,Small_flies,D3 CHFU,1,54,22
7,Small_flies,D3 CHMI,1,0,76
7,Hoverflies,D3 LEMA,1,30,12
7,Bees,D3 PUPA,1,10,16
7,Small_flies,D4 CHFU,1,54,22
7,Hoverflies,D4 LEMA,1,30,12
7,Small_flies,D4 LEMA,1,14,62
7,Small_flies,D5 CHFU,1,54,22
7,Flower_beetles,D5 LEMA,1,24,6
7,Hoverflies,D5 LEMA,4,30,12
7,Bees,D5 PUPA,2,10,16
7,Small_flies,D6 CHFU,3,54,22
7,Flower_beetles,D6 LEMA,2,24,6
7,Small_flies,D6 LEMA,1,14,62
7,Small_flies,E1 CHFU,1,54,22
7,Flower_beetles,E1 LEMA,2,24,6
7,Small_flies,E2 CHFU,3,54,22
7,Flower_beetles,E2 LEMA,3,24,6
7,House_flies,E2 ME,3,0,4
7,Small_flies,E3 CHFU,2,54,22
7,Flower_beetles,E3 LEMA,1,24,6
7,Hoverflies,E3 LEMA,1,30,12
7,Bees,E3 PUPA,2,10,16
7,Small_flies,E4 CHFU,2,54,22
7,Hoverflies,E4 LEMA,2,30,12
7,Butterflies,E4 PUPA,1,10,0
7,Humbleflies,E4 PUPA,3,14,0
7,Small_flies,E5 CHFU,1,54,22
7,Hoverflies,E6 CHFU,1,4,38
7,Flower_beetles,E6 LEMA,1,24,6
7,Hoverflies,E6 LEMA,6,30,12
7,Humbleflies,E6 PUPA,1,14,0
7,Small_flies,F1 CHFU,2,54,22
7,Hoverflies,F2 CHFU,1,4,38
7,Small_flies,F2 CHFU,3,54,22
7,Small_flies,F2 LEMA,2,14,62
7,Small_flies,F3 CHFU,1,54,22
7,Bees,F3 LEMA,1,12,14
7,Small_beetles,F3 LEMA,1,2,0
7,Butterflies,F3 PUPA,1,10,0
7,Humbleflies,F3 PUPA,1,14,0
7,Small_flies,F4 CHFU,3,54,22
7,Flower_beetles,F4 CHMI,3,4,26
7,Bees,F4 LEMA,1,12,14
7,Small_beetles,F4 LEMA,1,2,0
7,Butterflies,F4 PUPA,1,10,0
7,Small_flies,F5 CHFU,1,54,22
7,Flower_beetles,F5 CHMI,1,4,26
7,Butterflies,F6 PUPA,1,10,0
8,Flower_beetles,A1 LEMA,1,44,10
8,Hoverflies,A1 LEMA,1,16,28
8,Small_beetles,A1 LEMA,2,16,4
8,Flower_beetles,A2 LEMA,1,44,10
8,Hoverflies,A2 LEMA,2,16,28
8,Hoverflies,A2 PUPA,1,2,42
8,Hoverflies,A3 CHFU,1,20,24
8,Hoverflies,A3 LEMA,1,16,28
8,Small_flies,A3 LEMA,1,22,42
8,Small_flies,A4 CHFU,1,36,28
8,Bees,A4 LEMA,1,10,26
8,Flower_beetles,A4 LEMA,1,44,10
8,Small_flies,A5 CHFU,2,36,28
8,Flower_beetles,A5 LEMA,2,44,10
8,Hoverflies,A5 LEMA,2,16,28
8,Hoverflies,A6 CHFU,1,20,24
8,Small_flies,A6 CHFU,1,36,28
8,Small_flies,B1 CHFU,1,36,28
8,Hoverflies,B2 CHFU,1,20,24
8,Hoverflies,B2 LEMA,1,16,28
8,Small_beetles,B2 LEMA,2,16,4
8,Small_flies,B2 LEMA,1,22,42
8,Bees,B2 PUPA,2,16,20
8,Butterflies,B2 PUPA,3,28,0
8,Hoverflies,B3 CHFU,1,20,24
8,Flower_beetles,B3 LEMA,5,44,10
8,Small_beetles,B3 LEMA,1,16,4
8,Small_flies,B3 LEMA,1,22,42
8,Butterflies,B3 PUPA,1,28,0
8,House_flies,B3 PUPA,1,0,4
8,Humbleflies,B3 PUPA,3,34,0
8,Small_flies,B4 CHFU,1,36,28
8,Bees,B4 LEMA,1,10,26
8,Small_flies,B4 LEMA,3,22,42
8,Butterflies,B4 PUPA,2,28,0
8,Humbleflies,B4 PUPA,1,34,0
8,Hoverflies,B5 CHFU,1,20,24
8,Small_flies,B5 CHFU,2,36,28
8,Bees,B5 LEMA,2,10,26
8,Flower_beetles,B5 LEMA,5,44,10
8,Small_beetles,B5 LEMA,1,16,4
8,Small_flies,B5 LEMA,3,22,42
8,Hoverflies,B5 ME,1,0,44
8,Small_flies,B5 ME,1,0,64
8,Humbleflies,B5 PUPA,1,34,0
8,Small_flies,B6 CHFU,1,36,28
8,Flower_beetles,B6 LEMA,1,44,10
8,Butterflies,B6 PUPA,1,28,0
8,Small_beetles,C1 LEMA,1,16,4
8,Hoverflies,C2 CHFU,1,20,24
8,Bees,C2 LEMA,1,10,26
8,Flower_beetles,C2 LEMA,4,44,10
8,Hoverflies,C2 LEMA,1,16,28
8,Small_beetles,C2 LEMA,1,16,4
8,Small_flies,C2 LEMA,1,22,42
8,Butterflies,C2 PUPA,1,28,0
8,Humbleflies,C2 PUPA,1,34,0
8,Bees,C3 CHFU,1,2,34
8,Hoverflies,C3 CHFU,1,20,24
8,Small_flies,C3 CHFU,1,36,28
8,Flower_beetles,C3 LEMA,6,44,10
8,Bees,C3 PUPA,3,16,20
8,Butterflies,C3 PUPA,3,28,0
8,Humbleflies,C3 PUPA,6,34,0
8,Small_flies,C4 CHFU,1,36,28
8,Bees,C4 LEMA,1,10,26
8,Flower_beetles,C4 LEMA,3,44,10
8,Small_beetles,C4 LEMA,1,16,4
8,Small_flies,C4 LEMA,3,22,42
8,Butterflies,C4 PUPA,1,28,0
8,Humbleflies,C4 PUPA,1,34,0
8,Butterflies,C5 PUPA,7,28,0
8,Small_flies,C6 CHFU,1,36,28
8,Humbleflies,C6 PUPA,1,34,0
8,Hoverflies,D1 CHFU,3,20,24
8,Flower_beetles,D1 LEMA,2,44,10
8,Small_flies,D1 LEMA,2,22,42
8,Hoverflies,D2 CHFU,1,20,24
8,Small_beetles,D2 CHFU,1,0,20
8,Small_flies,D2 CHFU,1,36,28
8,Flower_beetles,D2 LEMA,3,44,10
8,Hoverflies,D2 LEMA,3,16,28
8,Butterflies,D2 PUPA,2,28,0
8,Humbleflies,D2 PUPA,3,34,0
8,Small_flies,D3 CHFU,1,36,28
8,Flower_beetles,D3 LEMA,1,44,10
8,Bees,D3 PUPA,7,16,20
8,Butterflies,D3 PUPA,2,28,0
8,Flower_beetles,D3 PUPA,1,4,50
8,Humbleflies,D3 PUPA,2,34,0
8,Flower_beetles,D4 LEMA,1,44,10
8,Hoverflies,D4 LEMA,1,16,28
8,Humbleflies,D4 PUPA,3,34,0
8,House_flies,D5 CHFU,1,2,2
8,Small_flies,D5 CHFU,2,36,28
8,Flower_beetles,D5 LEMA,1,44,10
8,Bees,D5 PUPA,1,16,20
8,Humbleflies,D5 PUPA,2,34,0
8,Hoverflies,D6 CHFU,1,20,24
8,Flower_beetles,D6 LEMA,1,44,10
8,Bees,D6 PUPA,1,16,20
8,Butterflies,D6 PUPA,4,28,0
8,Flower_beetles,D6 PUPA,1,4,50
8,Humbleflies,D6 PUPA,3,34,0
8,Small_beetles,D6 PUPA,1,0,20
8,Flower_beetles,E1 LEMA,1,44,10
8,Bees,E1 PUPA,1,16,20
8,Hoverflies,E1 PUPA,2,2,42
8,Humbleflies,E1 PUPA,1,34,0
8,Hoverflies,E2 CHFU,1,20,24
8,Flower_beetles,E2 LEMA,1,44,10
8,Small_flies,E2 LEMA,1,22,42
8,Bees,E2 ME,1,2,34
8,Flower_beetles,E2 ME,1,2,52
8,Humbleflies,E2 PUPA,2,34,0
8,Small_flies,E3 CHFU,1,36,28
8,Flower_beetles,E3 LEMA,1,44,10
8,Butterflies,E3 PUPA,1,28,0
8,Humbleflies,E3 PUPA,3,34,0
8,Bees,E4 CHFU,1,2,34
8,Small_flies,E4 CHFU,2,36,28
8,Bees,E4 LEMA,1,10,26
8,Small_flies,E4 LEMA,1,22,42
8,House_flies,E5 CHFU,1,2,2
8,Small_flies,E5 CHFU,1,36,28
8,Flower_beetles,E5 LEMA,1,44,10
8,Bees,E5 PUPA,1,16,20
8,Flower_beetles,E6 LEMA,1,44,10
8,Bees,E6 ME,1,2,34
8,Butterflies,E6 PUPA,1,28,0
8,Small_beetles,F1 LEMA,1,16,4
8,Humbleflies,F1 PUPA,3,34,0
8,Flower_beetles,F2 LEMA,1,44,10
8,Hoverflies,F2 LEMA,1,16,28
8,Flower_beetles,F2 PUPA,1,4,50
8,Humbleflies,F2 PUPA,2,34,0
8,Small_flies,F3 CHFU,1,36,28
8,Small_flies,F3 LEMA,1,22,42
8,Bees,F3 PUPA,2,16,20
8,Butterflies,F3 PUPA,1,28,0
8,Small_flies,F3 PUPA,1,0,64
8,Small_flies,F4 CHFU,1,36,28
8,Flower_beetles,F4 LEMA,6,44,10
8,Small_beetles,F4 LEMA,1,16,4
8,Bees,F4 PUPA,1,16,20
8,Humbleflies,F4 PUPA,3,34,0
8,Flower_beetles,F5 ME,1,2,52
8,Butterflies,F5 PUPA,2,28,0
8,Small_flies,F6 CHFU,2,36,28
8,Small_flies,F6 LEMA,1,22,42
9,Hoverflies,A2 CHFU,1,16,12
9,Small_flies,A2 CHFU,3,28,14
9,Small_flies,A3 CHFU,1,28,14
9,Flower_beetles,A3 LEMA,2,36,4
9,Small_flies,A4 CHFU,1,28,14
9,Flower_beetles,A5 LEMA,1,36,4
9,Small_flies,A5 LEMA,2,10,32
9,Small_flies,A6 CHFU,1,28,14
9,Small_flies,B1 CHFU,1,28,14
9,Small_flies,B2 CHFU,1,28,14
9,Flower_beetles,B2 LEMA,1,36,4
9,Small_beetles,B3 CHFU,1,0,8
9,Flower_beetles,B4 LEMA,3,36,4
